rec,address,code2,code,count,lat,lng
1,四川省绵阳市安县塔水镇七里村村委会九组,510724104208,510724104208,2019,31.474823502,104.440288524
1,四川省绵阳市安县塔水镇双堰村村委会四组,510724104209,510724104209,1982,31.486960737,104.438725922
1,四川省绵阳市安县塔水镇柑子村村委会七组,510724104210,510724104210,1743,31.496837956,104.421543583
1,四川省绵阳市安县塔水镇青安村村委会三组,510724104211,510724104211,1987,31.468553195,104.429765138
1,四川省绵阳市安县塔水镇团结村村委会三组,510724104212,510724104212,1363,31.464444271,104.419609801
1,四川省安县安昌镇金霞社区居民委员会,510724100001,510724100001,5850,31.650777170,104.427398333
1,四川省绵阳市安县塔水镇神泉村村委会七组,510724104214,510724104214,1682,31.460469643,104.405495715
1,四川省绵阳市安县塔水镇白庵村村委会一组,510724104215,510724104215,1189,31.468553195,104.429765138
1,四川省安县塔水镇双林村民委员会,510724104216,510724104216,2060,31.475075309,104.396247826
1,四川省安县塔水镇白塔村民委员会,510724104217,510724104217,1610,31.478948623,104.407114611
1,四川省安县塔水镇三泉村民委员会,510724104218,510724104218,1965,31.468553195,104.429765138
1,四川省绵阳市安县塔水镇春林村村委会四组,510724104219,510724104219,1406,31.470347684,104.375423321
1,四川省绵阳市安县塔水镇裕丰村村委会二组,510724104220,510724104220,1994,31.468553195,104.429765138
1,四川省安县塔水镇明星村民委员会,510724104221,510724104221,1168,31.455521304,104.378250496
1,四川省安县塔水镇新征村民委员会,510724104222,510724104222,1640,31.468553195,104.429765138
1,四川省绵阳市安县塔水镇幸福村村二组,510724104223,510724104223,1609,31.468553195,104.429765138
1,四川省安县塔水镇正觉村民委员会,510724104224,510724104224,1956,31.468553195,104.429765138
1,四川省安县塔水镇峨嵋村民委员会,510724104225,510724104225,822,31.468553195,104.429765138
1,四川省绵阳市安县塔水镇金竹村村委会六组,510724104226,510724104226,605,31.439330496,104.418497154
1,四川省平武县阔达乡岭岗村民委员会,510727209205,510727209205,505,32.474468124,104.411858625
1,四川省绵阳市盐亭县巨龙镇巨龙场社区居委会政府,510723113001,510723113001,100,31.156848567,105.348136099
1,四川省绵阳市江油市敬元乡大池村一组,510781217202,510781217202,1367,32.268302442,105.200696305
1,四川省平武县水观乡凤鹤村民委员会,510727203204,510727203204,1050,32.304255033,104.916505559
1,四川省江油市武都镇海金村民委员会,510781107212,510781107212,1926,31.884977934,104.789439705
1,四川省绵阳市江油市九岭镇柏河村七组,510781120200,510781120200,2369,31.646407733,104.671358211
1,四川省平武县锁江羌族乡两河村民委员会,510727206205,510727206205,550,32.169189284,104.479747858
1,四川省绵阳市梓潼县演武乡场镇一组,510725204800,510725204800,189,31.825330934,105.251153521
1,四川省绵阳市江油市青莲镇月元村二组,510781104200,510781104200,2568,31.694593998,104.696064489
1,四川省平武县水观乡观凤村民委员会,510727203205,510727203205,511,32.304255033,104.916505559
1,四川省江油市青莲镇太白村民委员会,510781104202,510781104202,2666,31.694593998,104.696064489
